Cohort ID,Likelihood Weights,Mortality Prob
0,0.02567986389784587,0.0917022004702574
1,0.0006338897475648142,0.12203244934421581
2,3.7814551961371825e-47,0.05001143748173449
3,0.00037963603511217584,0.08023325726318398
4,1.3023234700084274e-08,0.06467558908171131
5,1.9213569972252865e-24,0.059233859476879785
6,4.035826636056744e-10,0.06862602113776708
7,0.003941639550192424,0.08455607270430478
8,0.016682877133117033,0.089676747423067
9,0.025978836658577288,0.10388167340033569
10,0.012352284747658733,0.09191945144032948
11,0.007175737506198611,0.11852195003967594
12,1.2905567921620215e-09,0.07044522497315174
13,1.3184969272429611e-05,0.13781174363909454
14,4.541057156356115e-30,0.05273875931979262
15,0.0020786532330256883,0.11704675101784022
16,0.029393165761904583,0.0917304802367127
17,0.03226905857220733,0.10586898284457516
18,2.62817127977391e-13,0.06403869385952338
19,1.6732101202949763e-06,0.06981014890848788
20,0.0006196954803908887,0.13007445686755365
21,1.5586423259492824e-06,0.14682615757193973
22,0.00015917726981798562,0.08134241781592429
23,0.0011096101298134077,0.11923226156693141
24,2.101612671595782e-05,0.1376389152296038
25,5.559717498782261e-06,0.13946066635038473
26,1.3531773972838633e-21,0.05850442113697779
27,2.8366287593043467e-25,0.053905478323288236
28,2.459738731411533e-15,0.06698304195645689
29,1.8584746301311013e-05,0.1378142503429413
30,8.225656264910947e-19,0.05983468338330501
31,0.03197473218327938,0.0921107625005052
32,0.00018284294792363134,0.14578895301505018
33,0.011351679639542887,0.1033165284973017
34,0.0006103884719166251,0.11918771139504733
35,0.001987921127699233,0.0815515631006063
36,0.00018127524555334575,0.11865009276815837
37,3.4024809500412636e-05,0.13346256718973729
38,2.515357226109874e-37,0.051828827734419186
39,0.00044836723678288033,0.12501443149449676
40,5.3185707197264235e-06,0.14888610889064946
41,0.00027418213460615466,0.12481656543798393
42,3.051108583775044e-05,0.07804439920644052
43,0.00014712314344524525,0.12892793284514886
44,3.0484055190196907e-16,0.06032260065776421
45,0.014865533787010814,0.09478935261759051
46,9.283647004067898e-06,0.14085955030930955
47,0.0006012045490057228,0.07936141483736794
48,0.001012446522491055,0.07877753385863487
49,7.967048194859793e-10,0.06300285721182777
50,2.575788406190532e-31,0.05193669578702971
51,0.004190723517433697,0.1178835532939891
52,1.6327304222166148e-10,0.0711628116000059
53,4.652990541793004e-06,0.07655466593722263
54,0.037846261121012345,0.09915731592803383
55,1.9599644500737974e-23,0.05533625451170804
56,0.010533090815716885,0.1074117605492013
57,1.505681797961885e-09,0.06467285749058102
58,0.021443784553471405,0.10893055369032842
59,0.0034782306119285856,0.11997583600209312
60,1.5588080524627044e-17,0.06023344288278259
61,0.005827231478729664,0.09140559878195684
62,0.0017811947555525513,0.11944001577277451
63,0.023566417587730298,0.09141792695269027
